area_type,availability,location,society,total_sqft,bath,balcony,price,bhk,price_per_sqft
Built-up  Area,Ready To Move,Electronic City,GMown E,1060.0,2.0,1.0,60.0,2.0,5660.377358490566
Built-up  Area,Ready To Move,other,Sancyra,1470.0,2.0,2.0,70.0,3.0,4761.9047619047615
Super built-up  Area,Ready To Move,Attibele,Jae 1hu,450.0,1.0,1.0,11.0,1.0,2444.4444444444443
Super built-up  Area,18-Apr,Electronic City,Prarkun,1152.0,2.0,1.0,64.5,2.0,5598.958333333333
Super built-up  Area,Ready To Move,Electronic City,GMown E,1350.0,2.0,1.0,56.0,3.0,4148.148148148148
Super built-up  Area,Ready To Move,CV Raman Nagar,Srshq T,1550.0,3.0,3.0,65.0,3.0,4193.548387096775
Super built-up  Area,Ready To Move,Malleshwaram,Utntspa,705.0,1.0,2.0,67.0,1.0,9503.54609929078
Built-up  Area,Ready To Move,Electronic City,GMown E,770.0,1.0,1.0,36.0,2.0,4675.324675324675
Super built-up  Area,Ready To Move,Hulimavu,Aniona ,1242.0,2.0,3.0,51.0,2.0,4106.280193236715
Super built-up  Area,Ready To Move,Hebbal Kempapura,Goateds,1700.0,3.0,2.0,155.0,3.0,9117.64705882353
Super built-up  Area,Ready To Move,Thanisandra,Soitya ,2144.0,3.0,2.0,145.0,3.0,6763.059701492537
Super built-up  Area,21-Jun,Vijayanagar,Saahaat,1704.0,3.0,2.0,110.0,3.0,6455.399061032864
Super built-up  Area,Ready To Move,Electronic City,GMown E,1070.0,2.0,1.0,52.0,2.0,4859.813084112149
Built-up  Area,Ready To Move,Electronic City,GMown E,1025.0,2.0,1.0,46.0,2.0,4487.804878048781
Super built-up  Area,Ready To Move,KR Puram,MCvarar,1277.5,2.0,0.0,56.8,2.0,4446.183953033268
Super built-up  Area,Ready To Move,Marathahalli,VRave E,1200.0,2.0,2.0,52.0,2.0,4333.333333333333
Super built-up  Area,Ready To Move,Pattandur Agrahara,MaidoPl,1550.0,2.0,3.0,80.0,3.0,5161.290322580645
Super built-up  Area,Ready To Move,Marathahalli,Aiitya ,1200.0,2.0,2.0,60.0,2.0,5000.0
Super built-up  Area,Ready To Move,Yelahanka,PuziaVe,1327.0,2.0,2.0,98.0,2.0,7385.079125847777
Super built-up  Area,Ready To Move,HSR Layout,NRosete,1400.0,3.0,2.0,56.0,3.0,4000.0
Built-up  Area,Ready To Move,Whitefield,Sancya ,1225.0,2.0,2.0,47.6,2.0,3885.714285714286
Built-up  Area,Ready To Move,Kadugodi,MSingco,1260.0,2.0,2.0,54.0,3.0,4285.714285714285
Super built-up  Area,Ready To Move,Yelahanka,Pyikad ,1282.0,2.0,2.0,48.7,3.0,3798.751950078003
Super built-up  Area,Ready To Move,other,CaIRSCr,1909.0,3.0,2.0,88.0,3.0,4609.743321110529
Super built-up  Area,Ready To Move,Panathur,Prcesvy,1359.0,2.0,1.0,87.0,2.0,6401.766004415011
Super built-up  Area,Ready To Move,Kammasandra,Emstael,1595.0,3.0,2.0,65.0,3.0,4075.2351097178685
Super built-up  Area,Ready To Move,Electronics City Phase 1,SNdri N,1475.0,3.0,2.0,78.29,3.0,5307.796610169492
Super built-up  Area,Ready To Move,other,HodhiSa,1580.0,3.0,3.0,100.0,3.0,6329.113924050633
Super built-up  Area,Ready To Move,Dasarahalli,Syonyph,1295.0,2.0,1.0,65.0,2.0,5019.305019305019
Super built-up  Area,Ready To Move,Electronic City,Itvir M,589.0,1.0,1.0,27.0,1.0,4584.040747028863
Super built-up  Area,18-Dec,Sarjapur  Road,Klark L,1787.0,3.0,2.0,98.29,3.0,5500.279798545048
Super built-up  Area,Ready To Move,Sarjapur  Road,Klark L,1787.0,3.0,2.0,125.0,3.0,6994.963626189144
Super built-up  Area,Ready To Move,Koramangala,Piityra,1475.0,2.0,3.0,90.0,3.0,6101.6949152542375
Super built-up  Area,19-Mar,Sarjapur  Road,AsastDe,984.0,2.0,1.0,44.28,2.0,4500.0
Super built-up  Area,Ready To Move,other,MacleK ,2405.0,4.0,2.0,260.0,3.0,10810.81081081081
Built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1080.0,2.0,2.0,72.0,2.0,6666.666666666667
Super built-up  Area,Ready To Move,Budigere,PrityTr,1153.0,2.0,2.0,56.4,2.0,4891.587163920208
Super built-up  Area,Ready To Move,other,AlEcone,1148.0,2.0,2.0,60.0,2.0,5226.480836236934
Super built-up  Area,Ready To Move,other,Laowsba,1110.0,2.0,2.0,55.0,2.0,4954.954954954955
Built-up  Area,Ready To Move,Electronic City,Saave R,1100.0,2.0,2.0,42.0,2.0,3818.181818181818
Super built-up  Area,Ready To Move,Kalyan nagar,Anave S,1290.0,2.0,2.0,110.0,2.0,8527.131782945737
Super built-up  Area,21-Jun,Vijayanagar,Saityat,1933.0,3.0,1.0,129.0,3.0,6673.564407656492
Super built-up  Area,18-Aug,Chandapura,SunceEs,645.0,1.0,1.0,16.45,1.0,2550.3875968992247
Super built-up  Area,18-Sep,Chandapura,SunceEs,645.0,1.0,1.0,16.45,1.0,2550.3875968992247
Super built-up  Area,Ready To Move,other,SJcerpe,1644.0,3.0,3.0,84.0,3.0,5109.489051094891
Super built-up  Area,Ready To Move,other,Supams ,1285.0,2.0,3.0,72.5,2.0,5642.023346303502
Super built-up  Area,Ready To Move,Electronic City,CoapeSo,910.0,2.0,1.0,40.0,2.0,4395.604395604396
Super built-up  Area,Ready To Move,Kothanur,Bisic C,1577.0,3.0,1.0,70.0,3.0,4438.807863031072
Plot  Area,17-May,other,Sreat R,4050.0,3.0,2.0,280.0,3.0,6913.580246913581
Super built-up  Area,Ready To Move,other,Inntsa ,2420.0,3.0,2.0,185.0,3.0,7644.628099173554
Super built-up  Area,Ready To Move,Chandapura,KHityry,800.0,1.0,1.0,20.0,2.0,2500.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,BriumMi,1270.0,2.0,2.0,93.0,2.0,7322.834645669292
Super built-up  Area,17-Jun,Electronic City,Prarkun,1108.0,2.0,1.0,63.0,2.0,5685.9205776173285
Super built-up  Area,Ready To Move,other,Calyxy ,3045.0,3.0,2.0,170.0,3.0,5582.922824302134
Plot  Area,Ready To Move,Ambedkar Nagar,Thessrm,2900.0,3.0,2.0,300.0,4.0,10344.827586206897
Super built-up  Area,Ready To Move,Vijayanagar,JJortom,1500.0,3.0,2.0,75.5,3.0,5033.333333333333
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1295.0,2.0,2.0,43.9,2.0,3389.96138996139
Super built-up  Area,Ready To Move,Budigere,PrityTr,1162.0,2.0,1.0,59.9,2.0,5154.9053356282275
Super built-up  Area,Ready To Move,Sarjapur  Road,Usquaya,1035.0,2.0,2.0,49.2,2.0,4753.623188405797
Built-up  Area,Ready To Move,Attibele,Natic T,1600.0,4.0,0.0,52.8,4.0,3300.0
Super built-up  Area,18-Oct,Hennur Road,DSapeSk,1866.0,2.0,2.0,61.58,3.0,3300.10718113612
Super built-up  Area,Ready To Move,other,Jahtsa ,700.0,1.0,1.0,26.0,2.0,3714.285714285714
Super built-up  Area,Ready To Move,Kalena Agrahara,Prillot,1804.0,3.0,2.0,120.0,3.0,6651.884700665189
Super built-up  Area,21-Dec,Talaghattapura,Sodgere,1868.0,3.0,2.0,131.0,3.0,7012.847965738758
Super built-up  Area,Ready To Move,Hegde Nagar,SoitaCa,2026.0,3.0,2.0,132.0,3.0,6515.301085883514
Super built-up  Area,Ready To Move,Balagere,Soestin,1210.0,2.0,1.0,80.9,2.0,6685.950413223141
Plot  Area,Ready To Move,other,Sreat R,4111.0,4.0,2.0,250.0,4.0,6081.24543906592
Super built-up  Area,Ready To Move,Kadugodi,Alestrb,1762.0,3.0,3.0,91.45,3.0,5190.124858115778
Super built-up  Area,Ready To Move,Jigani,DLhtsen,1252.0,3.0,3.0,55.0,3.0,4392.97124600639
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,Mauner ,861.0,2.0,1.0,34.5,2.0,4006.968641114983
Built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1420.0,2.0,1.0,100.0,3.0,7042.2535211267605
Built-up  Area,Ready To Move,Electronics City Phase 1,GaicaVe,1490.0,3.0,1.0,78.8,3.0,5288.5906040268455
Super built-up  Area,18-Aug,Old Madras Road,Saesttt,1425.0,2.0,2.0,94.0,3.0,6596.491228070176
Built-up  Area,Ready To Move,Kalena Agrahara,Nae 2El,1200.0,2.0,1.0,40.0,2.0,3333.3333333333335
Super built-up  Area,Ready To Move,other,Bhinglv,1084.0,2.0,2.0,50.0,2.0,4612.546125461255
Super built-up  Area,18-Jul,Chandapura,SunceEs,1015.0,2.0,2.0,25.88,2.0,2549.753694581281
Super built-up  Area,21-May,Kanakpura Road,GolusLi,1017.0,2.0,1.0,51.25,2.0,5039.331366764995
Super built-up  Area,Ready To Move,Electronic City Phase II,Coush W,1069.0,2.0,2.0,45.0,2.0,4209.541627689429
Super built-up  Area,Ready To Move,Hebbal,Prersis,1349.0,2.0,1.0,98.2,2.0,7279.466271312083
Super built-up  Area,Ready To Move,9th Phase JP Nagar,NaensGa,1005.0,2.0,1.0,50.0,2.0,4975.124378109453
Super built-up  Area,Ready To Move,Jakkur,Arzzo P,1417.0,2.0,3.0,75.0,2.0,5292.87226534933
Carpet  Area,Ready To Move,other,SMikaay,950.0,2.0,2.0,47.0,2.0,4947.368421052632
Super built-up  Area,Ready To Move,other,Prave E,2000.0,4.0,0.0,120.0,4.0,6000.0
Super built-up  Area,Ready To Move,Sarjapur  Road,Ahriaup,1863.0,3.0,2.0,104.0,4.0,5582.393988191089
Super built-up  Area,Ready To Move,other,Priewhi,1010.0,2.0,1.0,29.5,2.0,2920.792079207921
Super built-up  Area,Ready To Move,Kalena Agrahara,Shodsth,1425.0,2.0,1.0,70.0,3.0,4912.2807017543855
Super built-up  Area,Ready To Move,Vijayanagar,Swadeh ,1450.0,3.0,0.0,100.0,3.0,6896.551724137931
Super built-up  Area,Ready To Move,Kothanur,Somumys,1847.0,3.0,2.0,105.0,3.0,5684.89442338928
Super built-up  Area,Ready To Move,AECS Layout,Soran U,1100.0,2.0,3.0,45.0,2.0,4090.909090909091
Super built-up  Area,20-Dec,Kanakpura Road,PrarePa,525.0,1.0,1.0,26.0,1.0,4952.380952380952
Super built-up  Area,Ready To Move,other,Puestig,1665.0,3.0,2.0,95.0,3.0,5705.705705705705
Super built-up  Area,Ready To Move,Begur,Prntsrt,1664.0,4.0,3.0,65.0,4.0,3906.25
Super built-up  Area,Ready To Move,JP Nagar,Maerar ,1850.0,3.0,3.0,150.0,3.0,8108.108108108108
Super built-up  Area,Ready To Move,Panathur,Vaesh T,1438.0,2.0,3.0,100.0,2.0,6954.102920723227
Super built-up  Area,Ready To Move,other,MaisePa,1560.0,3.0,3.0,115.0,3.0,7371.794871794872
Super built-up  Area,Ready To Move,Kanakpura Road,JRrnauv,1550.0,3.0,3.0,67.0,3.0,4322.580645161291
Super built-up  Area,Ready To Move,Whitefield,Gotis A,1280.0,2.0,2.0,75.0,2.0,5859.375
Super built-up  Area,Ready To Move,other,Puodse ,1113.0,2.0,1.0,51.0,2.0,4582.210242587601
Super built-up  Area,Ready To Move,Hennur Road,Mileeou,1385.0,2.0,1.0,83.09,2.0,5999.27797833935
Super built-up  Area,18-Apr,Electronic City,Prarkun,1128.0,2.0,1.0,65.0,2.0,5762.41134751773
Super built-up  Area,Ready To Move,Rajaji Nagar,PhestOn,2390.0,3.0,2.0,415.0,3.0,17364.016736401674
Super built-up  Area,Ready To Move,Haralur Road,NRowse ,1464.0,3.0,2.0,56.0,3.0,3825.136612021858
Super built-up  Area,Ready To Move,other,Abncy R,1200.0,2.0,2.0,52.0,2.0,4333.333333333333
Super built-up  Area,Ready To Move,Kaggalipura,Baowsig,1150.0,2.0,1.0,55.0,3.0,4782.608695652174
Built-up  Area,Ready To Move,other,Itala A,1645.0,3.0,2.0,95.0,3.0,5775.075987841945
Super built-up  Area,Ready To Move,other,HMinebo,1192.0,2.0,2.0,74.0,2.0,6208.053691275168
Super built-up  Area,Ready To Move,other,K borja,2135.0,3.0,2.0,215.0,3.0,10070.257611241217
Super built-up  Area,19-Dec,Whitefield,Oreldhi,1173.0,2.0,1.0,58.0,2.0,4944.58653026428
Built-up  Area,Ready To Move,Uttarahalli,Sungspr,1020.0,2.0,2.0,45.0,2.0,4411.764705882353
Super built-up  Area,Ready To Move,Thigalarapalya,Prtanha,3122.0,6.0,2.0,230.0,4.0,7367.072389493914
Super built-up  Area,Ready To Move,other,Clntsrt,1250.0,2.0,2.0,40.0,2.0,3200.0
Super built-up  Area,Ready To Move,Kalena Agrahara,PuamaPa,1325.0,2.0,2.0,76.0,2.0,5735.8490566037735
Built-up  Area,Ready To Move,7th Phase JP Nagar,Brngsal,1850.0,3.0,1.0,150.0,3.0,8108.108108108108
Super built-up  Area,18-Jun,Bommasandra,SSestth,1260.0,3.0,1.0,49.36,3.0,3917.4603174603176
Super built-up  Area,Ready To Move,other,Vancy R,1800.0,3.0,0.0,150.0,3.0,8333.333333333334
Plot  Area,18-Dec,other,PrhyaK ,11.0,3.0,2.0,74.0,3.0,672727.2727272727
Built-up  Area,Ready To Move,Ardendale,Miwel M,1100.0,2.0,1.0,43.25,2.0,3931.818181818182
Super built-up  Area,Ready To Move,Harlur,SrEndPo,1508.0,2.0,1.0,77.0,2.0,5106.100795755968
Carpet  Area,Ready To Move,other,Puens G,1592.0,3.0,2.0,75.0,3.0,4711.05527638191
Super built-up  Area,Ready To Move,Akshaya Nagar,SagasSa,1388.0,2.0,3.0,57.0,2.0,4106.628242074928
Super built-up  Area,18-May,Electronic City Phase II,SNbay G,630.0,1.0,1.0,28.35,1.0,4500.0
Super built-up  Area,Ready To Move,Kodihalli,Soianal,3252.0,5.0,3.0,335.0,4.0,10301.353013530135
Super built-up  Area,18-Aug,Magadi Road,Vrenty ,1116.0,2.0,1.0,50.0,2.0,4480.286738351255
Super built-up  Area,Ready To Move,other,AriosHe,1308.0,2.0,2.0,89.04,2.0,6807.339449541284
Super built-up  Area,Ready To Move,Hennur,SLureSi,1075.0,2.0,1.0,52.0,2.0,4837.209302325581
Super built-up  Area,18-Mar,Chandapura,Siissi ,530.0,1.0,0.0,11.66,1.0,2200.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,Mangsr ,1075.0,2.0,2.0,60.0,2.0,5581.395348837209
Built-up  Area,Ready To Move,KR Puram,HovasTe,930.0,2.0,2.0,39.0,2.0,4193.548387096775
Super built-up  Area,Ready To Move,Balagere,Exncene,1380.0,2.0,1.0,60.0,2.0,4347.826086956522
Super built-up  Area,Ready To Move,Hebbal,Prersis,2483.0,5.0,2.0,212.0,4.0,8538.058799838904
Built-up  Area,Ready To Move,other,Shyas S,1166.0,2.0,2.0,55.0,2.0,4716.981132075472
Super built-up  Area,Ready To Move,Bannerghatta Road,NadelCi,1050.0,2.0,1.0,65.0,2.0,6190.476190476191
Super built-up  Area,19-Mar,other,Sothadr,2023.71,3.0,2.0,275.0,3.0,13588.903548433324
Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,1200.0,2.0,2.0,46.8,2.0,3900.0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,Puarent,1600.0,2.0,1.0,108.0,3.0,6750.0
Super built-up  Area,Ready To Move,Billekahalli,MaionPa,1935.0,3.0,2.0,110.0,3.0,5684.754521963824
Super built-up  Area,18-May,8th Phase JP Nagar,Maian M,451.0,1.0,0.0,29.9,1.0,6629.711751662971
Super built-up  Area,Ready To Move,Electronic City,ShstaAl,1800.0,3.0,2.0,95.0,3.0,5277.777777777777
Super built-up  Area,18-May,Jalahalli,Shard T,1400.0,3.0,0.0,77.0,3.0,5500.0
Super built-up  Area,Ready To Move,Hegde Nagar,SoitaCa,1801.0,3.0,2.0,115.0,3.0,6385.341476957246
Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,1160.0,2.0,2.0,44.0,2.0,3793.103448275862
Super built-up  Area,Ready To Move,Kanakpura Road,Wiowsri,950.0,2.0,1.0,40.0,2.0,4210.526315789473
Super built-up  Area,21-Jun,Vijayanagar,Saityat,1826.0,3.0,2.0,121.0,3.0,6626.506024096386
Built-up  Area,Ready To Move,7th Phase JP Nagar,Eladero,1245.0,2.0,1.0,94.0,2.0,7550.2008032128515
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,Lancyey,1145.0,2.0,2.0,45.79,2.0,3999.126637554585
Super built-up  Area,Ready To Move,other,Suiseit,825.0,2.0,1.0,33.0,2.0,4000.0
Super built-up  Area,18-Aug,Yeshwanthpur,Aroomba,1693.0,3.0,3.0,108.0,3.0,6379.208505611341
Super built-up  Area,Ready To Move,Electronics City Phase 1,Courf T,1113.27,2.0,2.0,53.0,2.0,4760.74986301616
Built-up  Area,Ready To Move,other,VMowsea,1460.0,2.0,1.0,58.0,2.0,3972.6027397260273
Built-up  Area,Ready To Move,Doddathoguru,S onsMa,1050.0,2.0,1.0,32.0,2.0,3047.6190476190477
